DIA,SEMANA,numero
02/11/2019,111,771
02/12/2019,111,772
02/13/2019,111,773
02/14/2019,111,774
02/15/2019,111,775
02/16/2019,111,776
02/17/2019,112,777
02/18/2019,112,778
02/19/2019,112,779
02/20/2019,112,780
02/21/2019,112,781
02/22/2019,112,782
02/23/2019,112,783
02/24/2019,113,784
02/25/2019,113,785
02/26/2019,113,786
02/27/2019,113,787
02/28/2019,113,788
03/01/2019,113,789
03/02/2019,113,790
03/03/2019,114,791
03/04/2019,114,792
03/05/2019,114,793
03/06/2019,114,794
03/07/2019,114,795
03/08/2019,114,796
03/09/2019,114,797
03/10/2019,115,798
03/11/2019,115,799
03/12/2019,115,800
03/13/2019,115,801
03/14/2019,115,802
03/15/2019,115,803
03/16/2019,115,804
03/17/2019,116,805
03/18/2019,116,806
03/19/2019,116,807
03/20/2019,116,808
03/21/2019,116,809
03/22/2019,116,810
03/23/2019,116,811
03/24/2019,117,812
03/25/2019,117,813
03/26/2019,117,814
03/27/2019,117,815
03/28/2019,117,816
03/29/2019,117,817
03/30/2019,117,818
03/31/2019,118,819
04/01/2019,118,820
04/02/2019,118,821
04/03/2019,118,822
04/04/2019,118,823
04/05/2019,118,824
04/06/2019,118,825
04/07/2019,119,826
04/08/2019,119,827
04/09/2019,119,828
04/10/2019,119,829
04/11/2019,119,830
04/12/2019,119,831
04/13/2019,119,832
04/14/2019,120,833
04/15/2019,120,834
04/16/2019,120,835
04/17/2019,120,836
04/18/2019,120,837
04/19/2019,120,838
04/20/2019,120,839
04/21/2019,121,840
04/22/2019,121,841
04/23/2019,121,842
04/24/2019,121,843
04/25/2019,121,844
04/26/2019,121,845
04/27/2019,121,846
04/28/2019,122,847
04/29/2019,122,848
04/30/2019,122,849
05/01/2019,122,850
05/02/2019,122,851
05/03/2019,122,852
05/04/2019,122,853
05/05/2019,123,854
05/06/2019,123,855
05/07/2019,123,856
05/08/2019,123,857
05/09/2019,123,858
05/10/2019,123,859
05/11/2019,123,860
05/12/2019,124,861
